73015,12/2/2009,2005,4,PONTIAC,GRAND PRIX,Bas,4D SEDAN,SILVER,AUTO,Alloy,AMERICAN,LARGE,8557,30212,GA
73016,12/2/2009,2005,4,CHEVROLET,MALIBU V6,LS,4D SEDAN LS,SILVER,AUTO,Alloy,AMERICAN,MEDIUM,7562,30212,GA
73017,12/2/2009,2006,3,DODGE,DURANGO 2WD V8,Adv,4D SUV 4.7L ADVENTURER,SILVER,AUTO,Alloy,AMERICAN,MEDIUM SUV,15340,30212,GA
73018,12/2/2009,2002,7,SATURN,L SERIES,L20,4D SEDAN L200,GOLD,AUTO,Alloy,AMERICAN,MEDIUM,5725,30212,GA
73019,12/2/2009,2007,2,HYUNDAI,ACCENT,GS,2D COUPE GS,BLUE,AUTO,NULL,OTHER ASIAN,COMPACT,5914,30212,GA
73020,12/2/2009,2006,3,DODGE,STRATUS 4C,SXT,4D SEDAN,GREEN,AUTO,Alloy,AMERICAN,MEDIUM,7118,30212,GA
73021,12/2/2009,2006,3,FORD,EXPLORER 2WD V6,XLS,4D SUV 4.0L XLS,BROWN,AUTO,Alloy,AMERICAN,MEDIUM SUV,13679,30212,GA
73022,12/2/2009,2003,6,CHRYSLER,PT CRUISER,Tou,4D SEDAN LIMITED,BLUE,MANUAL,Alloy,AMERICAN,MEDIUM,6912,30212,GA
73023,12/2/2009,2005,4,CHEVROLET,MALIBU 4C,Bas,4D SEDAN,SILVER,AUTO,Alloy,AMERICAN,MEDIUM,7412,30212,GA
73024,12/2/2009,,3,CHRYSLER,TOWN & COUNTRY FWD V,Tou,MINIVAN 3.8L,WHITE,AUTO,NULL,AMERICAN,VAN,13162,30212,GA
73025,12/2/2009,2005,4,CHRYSLER,PACIFICA FWD,Tou,4D SPORT,SILVER,AUTO,Alloy,AMERICAN,CROSSOVER,9150,30212,GA
73026,12/2/2009,2004,5,HONDA,ACCORD 4C,LX,4D SEDAN LX AUTO,BLUE,AUTO,NULL,TOP LINE ASIAN,MEDIUM,7755,30212,GA
73027,12/2/2009,2008,1,JEEP,PATRIOT 4WD 4C,Spo,4D SUV,GOLD,AUTO,NULL,AMERICAN,SMALL SUV,13607,30212,GA
73028,12/2/2009,2004,5,CHEVROLET,TAHOE 2WD,LS,4D SUV 4.8L LS,WHITE,AUTO,Alloy,AMERICAN,LARGE SUV,12781,30212,GA
